,Feeder Cattle,Sugar,Brent Crude Oil,Wheat,Coffee,Corn,Gold,RBOB Gasoline,Live Cattle,Lumber,Soybean,Oat,Palladium,Soybean Meal,Heating Oil,Crude Oil,Silver,Natural Gas,Platinum,Lean Hogs,Copper,Cocoa,Soybean Oil,Cotton
Soybean,0.6321402797672034,0.5857237668839617,0.6017528603684912,0.8196523455349302,0.635059336268567,0.7502857961000517,0.935695246136367,0.5801908964909974,0.622714393490279,0.7121032758647485,,0.6898379379862044,0.8136821022030282,0.7088967106243991,0.5802130206504461,0.6077921184917621,0.5861993134847201,0.5815199003751073,0.931415772173717,0.6088597009181496,0.5804794766097902,0.4198091035090026,0.5944683178745855,0.6099875003672451
Oat,0.942302341780999,0.8958709267855832,0.9119149223822868,0.8701855924512742,0.9450963273337286,0.9392761750281804,0.6916841723880396,0.8903529585047931,0.9328764555040747,0.9771068534641025,0.6898379379862044,,0.8701948927571049,0.9806191269607554,0.8903737775564569,0.917906254636508,0.8963517979811052,0.8916774925405022,0.6637167596217664,0.9190217629319453,0.890639953789551,0.1096470414952071,0.9045929822810941,0.9200519261616329
Palladium,0.8184581775641754,0.7717019452089641,0.788070758165463,0.9543014931022556,0.8183548202982636,0.9238493429931142,0.8155283366048633,0.7664774768052696,0.809032291287251,0.8853181120720204,0.8136821022030282,0.8701948927571049,,0.8866965328477584,0.7664961564389585,0.7927909310276722,0.7722815824056101,0.7677203054908799,0.7914310657957486,0.7951775987151215,0.7667599544198045,0.23349120571203064,0.779943827205291,0.7940080543121395
Soybean Meal,0.922926327497787,0.8765223393775106,0.8925389080990748,0.8891574769991297,0.9259503230591918,0.9585659294246862,0.7106560569358951,0.8709769442215811,0.9135004412208627,0.9880230776990215,0.7088967106243991,0.9806191269607554,0.8866965328477584,,0.8709990683810297,0.8986027917130032,0.8769853612153037,0.8723069263328672,0.6788284945584644,0.8996457486487331,0.8712657629587026,0.129023055778419,0.8852858541941918,0.9008556363369986
Heating Oil,0.9480201482256735,0.9943580500034702,0.9780866531024444,0.7605603782315185,0.9437200112784458,0.8296512576924221,0.582058958168284,0.999966587063599,0.9574478046363781,0.8674819361283442,0.5802130206504461,0.8903737775564569,0.7664961564389585,0.8709990683810297,,0.9723962766680264,0.9940136090289077,0.9986921420481625,0.566303812429695,0.9713051421518291,0.9997314047012062,2.212415944868873e-05,0.9856762955830247,0.9691290479592041
Crude Oil,0.9736657450523317,0.9779150010577632,0.9916677816797144,0.7881289227423072,0.9713237346104193,0.8572549810243957,0.6096275026790725,0.9723741525085778,0.9831580714676277,0.8950856594603178,0.6077921184917621,0.917906254636508,0.7927909310276722,0.8986027917130032,0.9723962766680264,,0.9783825695023005,0.973704134619864,0.5913049897650208,0.9951717014286142,0.9726629712456994,0.027625847491422273,0.9866716311810714,0.9946492711178302
Silver,0.9537140711206369,0.9988776927004942,0.9819962305962984,0.7665453858641358,0.9497063041127198,0.8356375505266961,0.5880439658009012,0.9939915830062774,0.9631507137739311,0.8734682289626182,0.5861993134847201,0.8963517979811052,0.7722815824056101,0.8769853612153037,0.9940136090289077,0.9783825695023005,,0.9953202551215875,0.5719093858626444,0.9770215061632324,0.9942800428834193,0.006008416993722676,0.9916625884172988,0.9751153407934781
Natural Gas,0.9492010657809902,0.9956659079553078,0.978757743761822,0.7618665512886366,0.9450278692302834,0.8309591156442596,0.583365131225402,0.9986700178887139,0.9586330811429387,0.8687897940801818,0.5815199003751073,0.8916774925405022,0.7677203054908799,0.8723069263328672,0.9986921420481625,0.973704134619864,0.9953202551215875,,0.567441355415566,0.9724969148289039,0.9989588366258354,0.0013299821112864318,0.9869841535348624,0.9704369059110416
Platinum,0.616551627092609,0.571214739931912,0.5879139494608001,0.7751615311806245,0.6152466925413764,0.716080796096419,0.9359785747960796,0.5662821385335117,0.6072331730389444,0.6783976958529818,0.931415772173717,0.6637167596217664,0.7914310657957486,0.6788284945584644,0.566303812429695,0.5913049897650208,0.5719093858626444,0.567441355415566,,0.5937812114706056,0.5665679561371877,0.43364801441669354,0.5789532442408425,0.5916601757451176
Lean Hogs,0.9765153440768368,0.9764012524166921,0.9887328876383534,0.7892073553832194,0.9723666915461493,0.8582979379601255,0.6107059353199848,0.971285372922656,0.9860281380744087,0.8961286163960478,0.6088597009181496,0.9190217629319453,0.7951775987151215,0.8996457486487331,0.9713051421518291,0.9951717014286142,0.9770215061632324,0.9724969148289039,0.5937812114706056,,0.9715690083906702,0.02866880442715214,0.9844636121539788,0.9960423039940705
Copper,0.9482840373349674,0.9946247445811432,0.9782804348117767,0.7608267698591256,0.9439867058561188,0.829917952270095,0.5823253497958909,0.9997024412359269,0.9577116853238485,0.8677486307060172,0.5804794766097902,0.890639953789551,0.7667599544198045,0.8712657629587026,0.9997314047012062,0.9726629712456994,0.9942800428834193,0.9989588366258354,0.5665679561371877,0.9715690083906702,,0.000288818737121721,0.9859429901606978,0.9693957425368771
Cocoa,0.05194938327620602,0.005664074155978471,0.02156196387749365,0.23946144904393274,0.05630211288100284,0.1703708664670266,0.4179628691071674,0.0,0.042523496999281596,0.13254018803110446,0.4198091035090026,0.1096470414952071,0.23349120571203064,0.129023055778419,2.212415944868873e-05,0.027625847491422273,0.006008416993722676,0.0013299821112864318,0.43364801441669354,0.02866880442715214,0.000288818737121721,,0.014345828576423969,0.030893076200244618
Soybean Oil,0.9610797530882925,0.9912142900469415,0.9850145186463847,0.7748073699084148,0.958043715695421,0.8439294744475365,0.5963059498451801,0.9856541714235761,0.9705473597821503,0.8817999847706951,0.5944683178745855,0.9045929822810941,0.779943827205291,0.8852858541941918,0.9856762955830247,0.9866716311810714,0.9916625884172988,0.9869841535348624,0.5789532442408425,0.9844636121539788,0.9859429901606978,0.014345828576423969,,0.9834527523761794
Cotton,0.9744451749833088,0.9747709979557339,0.9865758304992456,0.7903126750424303,0.9745796988848925,0.859485512723489,0.6118112549791956,0.9691069237997555,0.9836342519472289,0.8974197462152803,0.6099875003672451,0.9200519261616329,0.7940080543121395,0.9008556363369986,0.9691290479592041,0.9946492711178302,0.9751153407934781,0.9704369059110416,0.5916601757451176,0.9960423039940705,0.9693957425368771,0.030893076200244618,0.9834527523761794,
