,Feeder Cattle,Sugar,Brent Crude Oil,Wheat,Coffee,Corn,Gold,RBOB Gasoline,Live Cattle,Lumber,Soybean,Oat,Palladium,Soybean Meal,Heating Oil,Crude Oil,Silver,Natural Gas,Platinum,Lean Hogs,Copper,Cocoa,Soybean Oil,Cotton
Soybean,0.6934472157786739,0.7351527262902444,0.8017466951291643,0.8554570835351589,0.7544805310186865,0.9029021524561074,0.7970720463059198,0.6470828779577105,0.7579588299868801,0.7437584127857306,,0.7447235251306497,0.8470692471150078,0.9026197992858411,0.7600983854753633,0.7012557413839686,0.8971394702957163,0.30321322775921133,0.8501775660669906,0.8964457577653209,0.9415760175058965,0.8075446714358389,0.9354421382897672,0.8534136741693097
Oat,0.4504847468436083,0.8760080129882464,0.6221579084445508,0.8390586929482299,0.8798088274310977,0.8175949838498858,0.5499278295560487,0.8258197369734177,0.5149647180241124,0.8600830507773235,0.7447235251306497,,0.8901281055806134,0.834331711425324,0.8954721261437133,0.865996645839064,0.8367572712026544,0.49691723887808437,0.621646751843207,0.7483636903559356,0.7871239652121426,0.8716850885883074,0.7066435753700411,0.8573933934226319
Palladium,0.5599209411123254,0.8701297120727887,0.7262050516876688,0.9255220491051108,0.8777788055000451,0.9168713321471255,0.6589185873578801,0.7821547928233614,0.6237631835806763,0.8594550583813862,0.8470692471150078,0.8901281055806134,,0.9267829020550928,0.8909277005498584,0.8377832355239234,0.9306664751857812,0.4400790588876746,0.7124500709534042,0.7982574428052275,0.8935297310586052,0.9209216396930139,0.8138379828300063,0.9472936692037884
Soybean Meal,0.602276350731319,0.819542247093101,0.7598927057952988,0.9236405059963537,0.8306404305399031,0.9511285607533961,0.7054241017639771,0.7362943093665796,0.6666857336192564,0.8176083712846827,0.9026197992858411,0.834331711425324,0.9267829020550928,,0.8464205650471116,0.7874124035800435,0.9537731876455884,0.39620478393897274,0.7560638994433259,0.8427475397545962,0.9423427524079127,0.8845832734955565,0.8658469499772413,0.9273634299094766
Heating Oil,0.4585451996309936,0.9630689355528887,0.6280422945576426,0.8784652157932785,0.962595507176882,0.8368838433134631,0.5618487317231089,0.8803613633763597,0.5229740551513633,0.9281995360645323,0.7600983854753633,0.8954721261437133,0.8909277005498584,0.8464205650471116,,0.9336822991337113,0.8441580885664005,0.5399797484622706,0.6121161153071928,0.7054959070960707,0.80394223443589,0.9362064391127295,0.7278310164957538,0.890237639138044
Crude Oil,0.39778936940313947,0.9466182122662979,0.569462531004082,0.8155649619188332,0.9259687026115234,0.7750959635667047,0.5014263703256554,0.9408104996434075,0.46226934058364344,0.9055151363205974,0.7012557413839686,0.865996645839064,0.8377832355239234,0.7874124035800435,0.9336822991337113,,0.7957941548025597,0.5981846638415123,0.5517083583840635,0.6623944522470201,0.7431985746033061,0.8815820540219506,0.6660041914841309,0.8294525999615415
Silver,0.5984292887864412,0.8251321096406568,0.7632091385064004,0.894233179905217,0.8307268403463207,0.9238096744906081,0.7018618270684196,0.7415068896607624,0.6629092599669453,0.8055779355601912,0.8971394702957163,0.8367572712026544,0.9306664751857812,0.9537731876455884,0.8441580885664005,0.7957941548025597,,0.3977151299919919,0.7523361073720951,0.8437029157832987,0.925414949626734,0.8788644047581378,0.839608794814438,0.9160753882964611
Natural Gas,0.0,0.5667339283845262,0.17167316160094248,0.4234445626325051,0.5402742720278069,0.37897393831556847,0.10269014417050226,0.6558333921569105,0.06447997118050397,0.5443148432574791,0.30321322775921133,0.49691723887808437,0.4400790588876746,0.39620478393897274,0.5399797484622706,0.5981846638415123,0.3977151299919919,,0.1578037791511394,0.2916574374502534,0.3456014974454341,0.4834324409188161,0.26999900202758775,0.43724213975021475
Platinum,0.8274237950700161,0.5871363790153176,0.8170132389559746,0.726407080249152,0.6091416707031809,0.775159249622109,0.9145260969785773,0.4981318443260401,0.8918210075626833,0.6090589120153445,0.8501775660669906,0.621646751843207,0.7124500709534042,0.7560638994433259,0.6121161153071928,0.5517083583840635,0.7523361073720951,0.1578037791511394,,0.8451499757809136,0.8056813839199868,0.6620475959818221,0.8756416840906156,0.7139677192435854
Lean Hogs,0.6865015711980293,0.6839019747683366,0.8329941849851399,0.7850793388067656,0.6978407284711793,0.8367621393607622,0.7809718304031078,0.6204236271185615,0.751054564750154,0.7075746106082033,0.8964457577653209,0.7483636903559356,0.7982574428052275,0.8427475397545962,0.7054959070960707,0.6623944522470201,0.8437029157832987,0.2916574374502534,0.8451499757809136,,0.8738124736815203,0.7360545525797586,0.8688372160951043,0.7885296458658384
Copper,0.6541039789890295,0.777256208727147,0.8005722519856,0.906466861230719,0.800198620850808,0.9519378920388576,0.7570131902743937,0.6871806792541009,0.7174788782790087,0.7901020609347351,0.9415760175058965,0.7871239652121426,0.8935297310586052,0.9423427524079127,0.80394223443589,0.7431985746033061,0.925414949626734,0.3456014974454341,0.8056813839199868,0.8738124736815203,,0.853591361940253,0.9105597651600528,0.9002124951014159
Cocoa,0.5114535589886888,0.9128891788147494,0.6730106880411262,0.9280705298746693,0.9317496403648198,0.8865865205570146,0.6151197688598531,0.8233880919984519,0.5738475244198982,0.9025796369814499,0.8075446714358389,0.8716850885883074,0.9209216396930139,0.8845832734955565,0.9362064391127295,0.8815820540219506,0.8788644047581378,0.4834324409188161,0.6620475959818221,0.7360545525797586,0.853591361940253,,0.7811653396879024,0.9355954852701706
Soybean Oil,0.7293413625487728,0.7013591897437643,0.7842590541655612,0.8464668125491379,0.7262172220829387,0.8874104563168002,0.8294002672618801,0.6095359915099322,0.7891892812894776,0.7253920692836262,0.9354421382897672,0.7066435753700411,0.8138379828300063,0.8658469499772413,0.7278310164957538,0.6660041914841309,0.839608794814438,0.26999900202758775,0.8756416840906156,0.8688372160951043,0.9105597651600528,0.7811653396879024,,0.8309142644334803
Cotton,0.5609152624058924,0.869926466471778,0.7200310101671482,0.9535906317165369,0.8939130985096134,0.9383362582849966,0.6644792409567878,0.7728626960346419,0.6253684587168022,0.878770692714558,0.8534136741693097,0.8573933934226319,0.9472936692037884,0.9273634299094766,0.890237639138044,0.8294525999615415,0.9160753882964611,0.43724213975021475,0.7139677192435854,0.7885296458658384,0.9002124951014159,0.9355954852701706,0.8309142644334803,
